EC	PFAM	count
3.1.1.1	PF12740	1
3.1.1.101	PF12740	9
3.1.1.3	PF12740	1
3.1.1.74	PF01083	14
3.1.1.74	PF12740	10
3.1.1.74	PF00734	1
