Assembly,Biome_ID
ERZ650283,root:Engineered:Bioremediation:Terephthalate:Wastewater
ERZ650289,root:Engineered:Bioremediation:Terephthalate:Wastewater
ERZ650290,root:Engineered:Bioremediation:Terephthalate:Wastewater
ERZ650292,root:Engineered:Bioremediation:Terephthalate:Wastewater
ERZ650298,root:Engineered:Bioremediation:Terephthalate:Wastewater
ERZ650299,root:Engineered:Bioremediation:Terephthalate:Wastewater
ERZ650309,root:Engineered:Bioremediation:Terephthalate:Wastewater
ERZ650311,root:Engineered:Bioremediation:Terephthalate:Wastewater
ERZ724020,root:Engineered:Wastewater:Industrial wastewater
ERZ724079,root:Engineered:Bioreactor
ERZ724084,root:Engineered:Bioreactor
ERZ724085,root:Engineered:Bioreactor
ERZ724086,root:Engineered:Bioreactor
ERZ724089,root:Engineered:Bioreactor
ERZ724502,root:Engineered:Wastewater
ERZ724503,root:Engineered:Wastewater
ERZ724512,root:Engineered:Wastewater
ERZ724513,root:Engineered:Wastewater
ERZ724514,root:Engineered:Wastewater
ERZ724515,root:Engineered:Wastewater
ERZ724518,root:Engineered:Wastewater
ERZ724526,root:Engineered:Wastewater
ERZ724528,root:Engineered:Wastewater
ERZ724531,root:Engineered:Wastewater
ERZ724532,root:Engineered:Wastewater
ERZ724534,root:Engineered:Wastewater
ERZ724540,root:Engineered:Wastewater
ERZ724544,root:Engineered:Wastewater
ERZ724545,root:Engineered:Wastewater
ERZ724550,root:Engineered:Wastewater
ERZ724553,root:Engineered:Wastewater
ERZ724557,root:Engineered:Wastewater
ERZ747220,root:Engineered:Biogas plant
ERZ761564,root:Engineered:Wastewater:Activated Sludge
ERZ761573,root:Host-associated:Plants
ERZ761577,root:Engineered:Solid waste:Composting
ERZ764730,root:Engineered:Wastewater:Activated Sludge
ERZ764825,root:Engineered:Bioreactor
ERZ764845,root:Engineered:Bioreactor
ERZ772708,root:Engineered:Wastewater:Activated Sludge
ERZ773281,root:Engineered:Wastewater:Activated Sludge
ERZ773282,root:Engineered:Wastewater:Activated Sludge
ERZ773283,root:Engineered:Wastewater:Activated Sludge
ERZ773284,root:Engineered:Wastewater:Activated Sludge
ERZ773360,root:Engineered:Bioreactor
ERZ777003,root:Engineered:Bioreactor
ERZ777010,root:Engineered:Bioreactor
ERZ778019,root:Engineered:Bioreactor
ERZ778035,root:Engineered:Bioreactor
ERZ778036,root:Engineered:Wastewater:Activated Sludge
ERZ778037,root:Engineered:Wastewater:Activated Sludge
ERZ778038,root:Engineered:Wastewater:Activated Sludge
ERZ778520,root:Host-associated:Plants:Root
ERZ778523,root:Host-associated:Plants:Root
ERZ780653,root:Host-associated:Plants:Rhizosphere
ERZ780663,root:Host-associated:Plants:Rhizosphere
ERZ780666,root:Host-associated:Plants:Rhizosphere
ERZ781244,root:Host-associated:Plants
ERZ781402,root:Engineered:Wastewater
ERZ781403,root:Engineered:Wastewater
ERZ794912,root:Engineered:Wastewater:Activated Sludge
ERZ794914,root:Engineered:Wastewater:Activated Sludge
ERZ794918,root:Engineered:Wastewater:Activated Sludge
ERZ794928,root:Engineered:Wastewater:Activated Sludge
ERZ794949,root:Engineered:Food production:Fermented beverages
ERZ794950,root:Engineered:Food production:Fermented beverages
ERZ794971,root:Engineered:Solid waste:Composting
ERZ794972,root:Engineered:Solid waste:Composting
ERZ794977,root:Engineered:Solid waste:Composting
ERZ795017,root:Engineered:Wastewater:Industrial wastewater
ERZ795018,root:Engineered:Wastewater:Industrial wastewater
ERZ795019,root:Engineered:Wastewater:Industrial wastewater
ERZ795029,root:Engineered:Wastewater:Activated Sludge
ERZ795034,root:Engineered:Bioreactor
ERZ795037,root:Engineered:Bioreactor
ERZ795041,root:Engineered:Wastewater:Activated Sludge
ERZ795053,root:Engineered:Wastewater:Activated Sludge
ERZ795056,root:Engineered:Wastewater:Activated Sludge
ERZ795059,root:Engineered:Wastewater:Activated Sludge
ERZ795061,root:Engineered:Wastewater:Activated Sludge
ERZ795062,root:Engineered:Wastewater:Activated Sludge
ERZ795065,root:Engineered:Bioreactor
ERZ795068,root:Engineered:Bioreactor
ERZ795069,root:Engineered:Bioreactor
ERZ795070,root:Engineered:Bioreactor
ERZ795071,root:Engineered:Bioreactor
ERZ795072,root:Engineered:Bioreactor
ERZ795073,root:Engineered:Bioreactor
ERZ795074,root:Engineered:Food production:Fermented beverages
ERZ795111,root:Environmental:Aquatic:Freshwater
ERZ795387,root:Engineered:Solid waste:Composting
ERZ795389,root:Engineered:Wastewater:Activated Sludge
ERZ838136,root:Environmental:Aquatic:Marine:Oceanic
ERZ840511,root:Environmental:Aquatic:Marine:Oceanic
ERZ840537,root:Environmental:Aquatic:Marine:Oceanic
ERZ840577,root:Environmental:Aquatic:Marine
ERZ841497,root:Environmental:Aquatic:Marine:Oceanic
ERZ841824,root:Environmental:Aquatic:Marine:Oceanic
ERZ841934,root:Environmental:Aquatic:Marine:Oceanic
ERZ843524,root:Environmental:Aquatic:Marine:Oceanic
ERZ858510,root:Engineered:Bioreactor
ERZ859223,root:Environmental:Aquatic:Marine:Oceanic
ERZ8868305,root:Environmental:Aquatic:Marine
ERZ8868561,root:Environmental:Aquatic:Marine
ERZ8868625,root:Environmental:Aquatic:Marine
ERZ887841,root:Environmental:Aquatic:Marine:Oceanic
ERZ887843,root:Environmental:Aquatic:Marine:Oceanic
ERZ887849,root:Environmental:Aquatic:Marine
ERZ887851,root:Environmental:Aquatic:Marine:Oceanic
ERZ888145,root:Environmental:Aquatic:Marine:Oceanic
ERZ888219,root:Environmental:Aquatic:Marine:Oceanic
ERZ888341,root:Environmental:Aquatic:Marine:Oceanic
ERZ888423,root:Environmental:Aquatic:Marine
ERZ888641,root:Environmental:Aquatic:Marine:Oceanic
ERZ888833,root:Environmental:Aquatic:Marine:Oceanic
ERZ888984,root:Environmental:Aquatic:Marine:Oceanic
ERZ889078,root:Environmental:Aquatic:Marine
ERZ889217,root:Environmental:Aquatic:Marine:Oceanic
ERZ890044,root:Environmental:Aquatic:Marine:Oceanic
ERZ890250,root:Environmental:Aquatic:Marine:Oceanic
ERZ891023,root:Environmental:Aquatic:Marine:Oceanic
ERZ941573,root:Host-associated:Human:Skin
ERZ941728,root:Host-associated:Human:Skin
ERZ9869192,root:Environmental:Aquatic:Marine
